id,pair,bid,ask,spread_percentage,timestamp
33581,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:50:06.600446Z
33593,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:45:06.994764Z
33597,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:45:05.926698Z
33609,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:40:06.902844Z
33613,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:40:06.709205Z
33625,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:35:06.826035Z
33629,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:35:06.046712Z
33641,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:30:08.030031Z
33645,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:30:06.889160Z
33657,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:25:06.805210Z
33661,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:25:06.071994Z
33673,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:20:06.724571Z
33677,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:20:06.117028Z
33689,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:15:06.531148Z
33693,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:15:06.364498Z
33705,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:10:07.126107Z
33709,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:10:06.946698Z
33721,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:05:06.413121Z
33725,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:05:06.085100Z
33737,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:00:06.962623Z
33741,USDT_BRL,5.702,5.703,0.017538,2025-05-30T10:00:06.914263Z
33753,USDT_BRL,5.702,5.703,0.017538,2025-05-30T09:55:06.797022Z
33757,USDT_BRL,5.702,5.703,0.017538,2025-05-30T09:55:05.991702Z
33769,USDT_BRL,5.702,5.703,0.017538,2025-05-30T09:50:06.471467Z
33773,USDT_BRL,5.702,5.703,0.017538,2025-05-30T09:50:06.411132Z
33785,USDT_BRL,5.702,5.703,0.017538,2025-05-30T09:45:06.692539Z
33789,USDT_BRL,5.702,5.703,0.017538,2025-05-30T09:45:06.324227Z
33801,USDT_BRL,5.702,5.703,0.017538,2025-05-30T09:40:06.996727Z
33805,USDT_BRL,5.702,5.703,0.017538,2025-05-30T09:40:06.412563Z
33817,USDT_BRL,5.702,5.703,0.017538,2025-05-30T09:35:06.382164Z
